"productCode (S)","cca (N)","discountAmount (N)","installationAmt (N)","partNumber (N)","product (S)","productName (S)","rcMinutes (N)","regularPrice (N)","replacementWarranty (N)","salesText (S)","totalWarranty (N)","tradeInCredit (N)","webPrice (N)"
"PF-34-5","540","0","14.99","7012995","PF","Interstate PowerFast","90","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MT-25","550","0","14.99","7098485","MT","Mega-Tron II","100","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"PF-24-5","530","0","14.99","7012991","PF","Interstate PowerFast","95","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MTP-124R","700","0","14.99","7008618","MTP","Mega-Tron Plus","120","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"PF-58-6","460","0","14.99","7013004","PF","Interstate PowerFast","80","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"PF-47/H5-6","630","0","14.99","7013050","PF","Interstate PowerFast","100","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"PF-51-6","425","0","14.99","7013002","PF","Interstate PowerFast","75","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MTP-91","700","0","14.99","7031542","MTP","Mega-Tron Plus","120","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MT-78","700","0","14.99","7098647","MT","Mega-Tron II","120","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MTP-66","750","0","14.99","7009346","MTP","Mega-Tron Plus","140","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"PF-78DT-7","780","0","14.99","7013020","PF","Interstate PowerFast","115","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MTP-58","610","0","14.99","7031682","MTP","Mega-Tron Plus","90","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MTP-100","770","0","14.99","7009234","MTP","Mega-Tron Plus","115","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MT-65","675","0","14.99","7098604","MT","Mega-Tron II","130","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"PF-24F-6","585","0","14.99","7012993","PF","Interstate PowerFast","130","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MTP-27F","710","0","14.99","7006476","MTP","Mega-Tron Plus","165","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MT-51","500","0","14.99","7031798","MT","Mega-Tron II","85","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MTP-24F","800","0","14.99","7098434","MTP","Mega-Tron Plus","125","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MTP-75DT","650","0","14.99","7031534","MTP","Mega-Tron Plus","93","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MTP-78","800","0","14.99","7098469","MTP","Mega-Tron Plus","110","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MT-26R","540","0","14.99","7005098","MT","Mega-Tron II","81","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MTP-27","810","0","14.99","7003163","MTP","Mega-Tron Plus","140","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MT-121R","600","0","14.99","7008619","MT","Mega-Tron II","110","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MT-42","500","0","14.99","7031690","MT","Mega-Tron II","75","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MTP-24","800","0","14.99","7098426","MTP","Mega-Tron Plus","125","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MT-34R","700","0","14.99","7004146","MT","Mega-Tron II","120","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"PF-48/H6-6","610","0","14.99","7013051","PF","Interstate PowerFast","95","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MTP-90/T5","600","0","14.99","7011302","MTP","Mega-Tron Plus","180","139.99","24","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","60","20","119.99"
"MTP-65","850","0","14.99","7098442","MTP","Mega-Tron Plus","150","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"PF-35-6","550","0","14.99","7013001","PF","Interstate PowerFast","100","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MTP-40R","590","0","14.99","7005115","MTP","Mega-Tron Plus","105","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"PF-78-6","630","0","14.99","7013014","PF","Interstate PowerFast","120","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"PF-86-6","520","0","14.99","7013049","PF","Interstate PowerFast","90","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MT-58","540","0","14.99","7098566","MT","Mega-Tron II","80","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MTP-96R","590","0","14.99","7012626","MTP","Mega-Tron Plus","95","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MTP-34","800","0","14.99","7010083","MTP","Mega-Tron Plus","110","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MT-24F","600","0","14.99","7005423","MT","Mega-Tron II","110","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"PF-35-5","450","0","14.99","7012997","PF","Interstate PowerFast","80","99.99","18","Equipped with ample cranking power, the Interstate Batteries' PowerFast Series is perfect for the value-minded customer. Backed by 18-months free replacement, this automotive battery offers reliable performance to get you where you need to go.","0","20","79.99"
"MTP-75","700","0","14.99","7003948","MTP","Mega-Tron Plus","95","139.99","30","The Mega-Tron Plus offers premium performance with our longest warranty, 30 months free replacement and a 6-year performance warranty.","72","20","119.99"
"MT-41","650","0","14.99","7098523","MT","Mega-Tron II","110","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MT-59","590","0","14.99","7003160","MT","Mega-Tron II","100","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
"MT-26","525","0","14.99","7098493","MT","Mega-Tron II","85","119.99","24","Get long life and premium performance with the Maintenance-Free Mega-Tron II, backed by 24 months free replacement and a 5-year performance warranty.","60","20","99.99"
